Department,Tech,Culture,Process,Skills,Risk
CSE,4.2,3.5,3.8,4,2.1
ECE,3.8,3.2,4,3.6,2.5
DSAI,3.6,3.1,3.7,3.8,2.4
Humanities & Social Sciences,3.1,3,3.2,3.3,2.9
Mathematics,3.2,2.9,3.4,3.1,3
Physics,2.9,2.7,3.1,2.8,3.2
Administration,2.8,2.5,3,2.7,3.5
Examination Cell,3,2.6,3.2,2.9,3.1
Finance & Accounts,3.3,2.8,3.6,3,2.6
Training & Placement,3.7,3.3,3.5,3.8,2.3
Research & Innovation Cell,3.9,3.4,3.8,3.7,2.2
Library & Knowledge Centre,3.4,3.1,3.3,3.2,2.7
Hostel & Student Affairs,2.7,2.9,3,2.6,3.3
IT Services,4.1,3.6,3.9,4.2,2
Procurement & Operations,3,2.7,3.4,2.9,3.4
